Data from teamratings.com and bleacherreport.com as of 27 Dec 2023, win totals odds from 19 Dec 2020 (Fanduel odds from www.thelines.com/odds/nba/win-totals/), schedule strength from powerrankingsguru.com/nba/strength-of-schedule.php
team avg_points avg_points_opponent win_fraction over_under_beginning over_under_as_of_dec schedule_strength
Atl 122.3 122.8 0.400 42.5 37.5 14.94
Bos 120.1 109.9 0.793 54.5 59.5 13.94
Brk 116.0 115.4 0.500 37.5 38.5 15.78
Cha 110.2 120.6 0.250 31.5 22.5 14.54
Chi 110.2 112.4 0.438 37.5 37.5 14.71
Cle 112.0 111.9 0.567 50.5 45.5 14.57
Dal 119.3 117.8 0.600 43.5 46.5 16.45
Den 115.1 110.2 0.688 52.5 56.5 15.32
Det 109.3 120.8 0.067 27.5 11.5 14.96
Gsw 117.1 115.9 0.500 47.5 44.5 13.65
Hou 111.8 108.3 0.536 31.5 40.5 14.72
Ind 125.8 125.4 0.500 38.5 41.5 15.84
Lac 116.6 112.4 0.600 45.5 48.5 15.98
Lal 114.3 114.4 0.531 46.5 45.5 15.08
Mem 107.3 112.4 0.345 45.5 38.5 15.72
Mia 113.4 111.9 0.600 44.5 46.5 17.11
Mil 124.5 119.1 0.733 53.5 54.5 17.77
Min 113.3 107.3 0.759 44.5 55.5 15.06
Nol 115.7 113.4 0.548 44.5 43.5 16.02
Nyk 115.1 112.4 0.586 45.5 46.5 15.20
Okc 121.0 113.4 0.679 44.5 50.5 15.18
Orl 113.6 110.7 0.621 37.5 44.5 16.14
Phi 122.0 111.2 0.690 47.5 53.5 17.21
Pho 114.5 114.5 0.483 52.5 44.5 17.78
Por 108.7 114.7 0.276 27.5 23.5 16.47
Sac 117.4 117.9 0.586 44.5 47.5 13.98
Sas 110.9 123.2 0.138 28.5 17.5 13.52
Tor 112.4 114.8 0.379 36.5 35.5 14.73
Uta 113.5 119.3 0.419 35.5 31.5 16.89
Was 117.1 126.6 0.172 23.5 18.5 15.21
